Inputs,Outputs,Nodes,Skip %,Optimizer,Best Val Acc (%),Best Epoch,Final Val Acc (%),Final Val Loss,CPU Load (%),Memory Used (MB),Memory Free (MB),Start Time,End Time,Avg Time (ns),Average Weight,Edge Count,Learning Rate,Dropout Rate,L2 Lambda,Adam Beta1,Adam Beta2,Adam Epsilon,RMSprop Decay,RMSprop Epsilon,Depth,Total Nodes,Layer Config,Architecture String,Teacher Params,Student Params,Baseline Params
NA,NA,NA,100.0,Config5,59.0,223,47.5,0.7502485281739927,12.02,266,245,221321753797000,221321764093600,9107785.0,1.891334,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,1146
NA,NA,NA,100.0,Config4,53.0,355,50.5,0.7725411995913991,11.76,262,249,221312363435700,221312372211300,8924597.5,2.231047,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,1146
NA,NA,NA,100.0,Config3,57.99999999999999,3,48.5,0.759403187318523,12.3,258,253,221302966170500,221302974064600,8685012.5,1.978178,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,1146
NA,NA,NA,25.0,Config6,59.0,220,44.0,0.6448788605099345,12.42,146,365,217654257326100,217654263421200,5412311.5,1.233787,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,830
NA,NA,NA,25.0,Config3,60.5,9,49.5,0.7388382851040407,12.36,134,377,217634119089800,217634124790900,5923939.0,1.228238,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,830
NA,NA,NA,25.0,Config5,56.49999999999999,235,50.5,0.672898436573375,12.27,142,369,217647656493100,217647662848500,6008699.0,1.524496,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,830
NA,NA,NA,25.0,Config4,60.5,16,55.00000000000001,0.6818645675481737,12.69,138,373,217640776236200,217640782523300,5492985.0,1.284231,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,830
NA,NA,NA,25.0,Config6,59.5,99,51.5,0.5880675025769532,11.93,162,349,217681900350400,217681905633800,5689502.5,1.69372,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,830
NA,NA,NA,25.0,Config3,58.5,197,43.0,0.6659313038408256,12.57,150,361,217660912727500,217660918662600,5663910.0,1.176564,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,830
NA,NA,NA,25.0,Config5,54.50000000000001,344,50.0,0.5960001471331049,11.18,158,353,217675131554200,217675139568400,6317206.5,1.352827,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,830
